state,literacy
AndamanandNicobarIslands,86.3
AndhraPradesh,67.7
ArunachalPradesh,67
Assam,73.2
Bihar,63.8
Chandigarh,86.4
Chhattisgarh,71
DadraandNagarHaveli,77.7
DamanandDiu,87.1
Delhi,86.3
Goa,87.4
Gujarat,79.3
Haryana,76.6
HimachalPradesh,83.8
JammuandKashmir,68.7
Jharkhand,67.6
Karnataka,75.6
Kerala,93.9
Lakshadweep,92.3
MadhyaPradesh,70.6
Maharashtra,82.9
Manipur,79.8
Meghalaya,75.5
Mizoram,91.6
Nagaland,80.1
Orissa,73.5
Puducherry,86.5
Punjab,76.7
Rajasthan,67.1
Sikkim,82.2
TamilNadu,80.3
Tripura,87.8
UttarPradesh,69.7
Uttaranchal,79.6
WestBengal,77.1
